Tags,Create At,Text
,Thu Apr 01 10:49:30 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 10:43:15 +0000 2021,"@elonmusk Dear sir, 
              I am from Pakistan and suffering from too much financial crises. Due to covid times I had the job issue all my savings gone during the period and I am under bank debit as well now bank is asking me for payback and I am penny less."
,Thu Apr 01 10:41:58 +0000 2021,"The provincial government notified a new set of restrictions and standard operating procedures (SOPs) for commercial, business and social activities, imposing a complete ban on indoor and outdoor marriage functions with effect from April 6 in view of the recent surge in Covid-19"
,Thu Apr 01 10:39:27 +0000 2021,@SaeedGhani1 Saeed bhai covid-19 on peak 5000 cases record yesterday i would to request youbpls shut down all schools and colleges atleast 15 days. Are we waiting for any disaster God forbid i know you are much concern regarding students of Karachi and sindh stay blessed.
,Thu Apr 01 10:37:22 +0000 2021,"Coronavirus India Live Updates: Vaccination drive on all days of April, including holidays https://t.co/vpMtFvu2Ke via @IndianExpress 

#officialncoc #ncocpakistan #coronavaccine #vaccination #india #pakistan #islamabad 

Things to learn from neighbors."
,Thu Apr 01 10:36:26 +0000 2021,"@ShaykShack Yes and no. Re-infections might be less severe for some due to immunity from 1st time contraction but covid impact from that 1st time contraction are also long term. If lungs are damaged from that, reinfection is really dangerous."
,Thu Apr 01 10:26:39 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
COVID19 ARYNews ,Thu Apr 01 10:25:51 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
,Thu Apr 01 10:20:17 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 10:16:30 +0000 2021,If the govt is actually using covid vaccines to track people then they are going to find out that I have an extremely boring life
,Thu Apr 01 10:15:43 +0000 2021,"KARACHI, March 29: Former President @AAliZardari received the first dose of COVID-19 vaccine here today. https://t.co/Pq6nkOoI2v"
,Thu Apr 01 10:15:11 +0000 2021,"According to a report showing statistics from December 22, 2020, to March 30, 2021, 98 passengers who landed at the #Karachi airport from UK, South Africa and other countries tested positive for the COVID-19."
,Thu Apr 01 10:14:32 +0000 2021,"According to a report showing statistics from December 22, 2020, to March 30, 2021, 98 passengers who landed at the #Karachi airport from UK, South Africa and other countries tested positive for the COVID-19."
,Thu Apr 01 10:14:22 +0000 2021,"accine

Searle to prepare COVID-19 vaccine"
,Thu Apr 01 10:11:25 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Pakistan to receive 0.5 mln COVID-19 vaccines tonight: Asad Umar #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/l3B7uPtBKK https://t.co/TEHolKcduc
,Thu Apr 01 10:07:14 +0000 2021,"The authorities concerned had released many detainees due to the COVID-19 emergency.

 But they did not release a single Shia missing person  !!

#ہمارے_پیارے_کہاں_ہیں 
@tabbyeen"
Covid_19 Journalists FrontLineHeroes VaccinationCovid atCEJ ,Thu Apr 01 10:04:58 +0000 2021,"Have you voted yet? Let us know what you think. 
#Covid_19 #Journalists #FrontLineHeroes #VaccinationCovid #atCEJ #IBAKarachi https://t.co/OfleYjn8T0"
,Thu Apr 01 10:03:15 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 10:03:02 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 10:01:23 +0000 2021,"CanSinoBIO’s chief scientific officer says a second shot given to trial participants six months after their first injection could offer substantial protection against the virus

https://t.co/yEQGwrKvor"
COVID ARYNews ,Thu Apr 01 10:01:01 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID19 ARYNews ,Thu Apr 01 09:56:35 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
COVID19 ARYNews ,Thu Apr 01 09:56:06 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
,Thu Apr 01 09:55:36 +0000 2021,"Prevention is better thn cure.
If cure not available thn prevention is cure.
Covid vaccine prevents &amp; help eradicate covid from the world. Pls opt it without hesitation. 
I opt it. https://t.co/Ox8VTz8SQe"
,Thu Apr 01 09:54:47 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
COVID19 ARYNews ,Thu Apr 01 09:53:43 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
COVID19 ARYNews ,Thu Apr 01 09:52:56 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
COVID19 ARYNews ,Thu Apr 01 09:52:42 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
,Thu Apr 01 09:50:09 +0000 2021,"So naive of those who thought that the pandemic will change things for the better. Global  inequality is reflected in the vaccination roll-out, and effects of colonialism and imperialism apparent. Couple this with gross incompetence and its just a disaster https://t.co/nJ1bd47fhY"
,Thu Apr 01 09:46:30 +0000 2021,I am trying to mass protest about the requirement of GRE a) rising cases of Covid and testing centres being filled up because of Fulbright’s deadline as well
,Thu Apr 01 09:46:07 +0000 2021,@MaryamNSharif NAB is waiting you get well to call you if Covid subsides.
,Thu Apr 01 09:40:45 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 09:35:02 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 09:33:45 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 09:18:45 +0000 2021,"The MS of Services hospital Lahore was suspended after 550 COVID-19 vaccine doses ‘disappeared’ from the hospital

Another 350 vaccine doses were spoiled due to improper storage

Punjab CM Usman Buzdar has sought a detailed report on the incident

https://t.co/NtScXLRKKp"
,Thu Apr 01 09:15:24 +0000 2021,@Asad_Umar Covid be 1 bussiness hai
,Thu Apr 01 09:14:41 +0000 2021,"Please don’t lie, spread any fake news or false information on the pretext of April fool. The panic is real and many are depressed about Covid-19...! Thank you
#AprilFoolsDay 
#StopFakeNews 
#StaySafe"
,Thu Apr 01 09:13:19 +0000 2021,@BakhtawarBZ Where were you when your brother was organising jalsas when Covid threat was at its peak?
,Thu Apr 01 09:12:31 +0000 2021,"PARTLY FACETIOUS: Hafeez, too, tested positive for Covid-19 https://t.co/5mbqFpH87e"
ARYNews ,Thu Apr 01 09:11:52 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
,Thu Apr 01 09:11:17 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
Pak Live NEWS ,Thu Apr 01 09:11:11 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Six employees of CM House KP test COVID positive #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/dLCENrnIJ5 https://t.co/Ji04hU0ZHs
ARYNews ,Thu Apr 01 09:11:10 +0000 2021,"Six employees of CM House KP test COVID positive

#ARYNews

https://t.co/gxWyNEFxs5"
,Thu Apr 01 09:11:06 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Tougher restrictions imposed in AJK’s Mirpur to curb virus spread #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/cfdPQ8qJTH https://t.co/bQydC6zMKM
ARYNews ,Thu Apr 01 09:10:15 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
,Thu Apr 01 09:08:41 +0000 2021,It's been a year and the world is still battling  Covid-19. https://t.co/5tAU54A6S3
ARYNews ,Thu Apr 01 09:08:13 +0000 2021,"Six employees of CM House KP test COVID positive

#ARYNews

https://t.co/gxWyNEFxs5"
ARYNews ,Thu Apr 01 09:07:38 +0000 2021,"Six employees of CM House KP test COVID positive

#ARYNews

https://t.co/gxWyNEFxs5"
ARYNews ,Thu Apr 01 09:05:25 +0000 2021,"Six employees of CM House KP test COVID positive

#ARYNews

https://t.co/gxWyNEFxs5"
,Thu Apr 01 09:03:58 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 09:03:03 +0000 2021,"Punjab CM @UsmanAKBuzdar's press conference:

COVID-19 situation
-60 people died over 24 hrs
-275 critical
-22,624 tests done
-26,898 active cases
-2 new vaccine centres in Lahore, 1 more will be added"
,Thu Apr 01 09:02:50 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 09:02:17 +0000 2021,@ShaykShack Depends on how severe the infection was in the first place. Some lung fibrotic changes are permanent and may mean life long disability. Also read about Long COVID.
ARYNews ,Thu Apr 01 09:02:12 +0000 2021,"Six employees of CM House KP test COVID positive

#ARYNews

https://t.co/gxWyNEFxs5"
,Thu Apr 01 09:02:02 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
Sindh coronavirus ,Thu Apr 01 09:00:24 +0000 2021,"BREAKING: #Sindh govt announced new restrictions to halt the spread of the #coronavirus amid third Covid wave - According to a notification, sindh govt imposed a complete ban on indoor/outdoor wedding ceremonies from April 6, the following measures will be taken:

#TOKAlert https://t.co/6tdHKlvAVU"
ARYNews ,Thu Apr 01 08:59:44 +0000 2021,"Sindh bans wedding ceremonies, reduces business timings

For More Details: https://t.co/uQnOM5dpVE

#ARYNews https://t.co/8NbMvJ6tUa"
,Thu Apr 01 08:58:51 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
Sindh coronavirus ,Thu Apr 01 08:52:24 +0000 2021,"BREAKING: #Sindh govt announced new restrictions to halt the spread of the #coronavirus amid third Covid wave - According to a notification, sindh govt imposed a complete ban on indoor/outdoor wedding ceremonies from April 6, the following measures will be taken:

#TOKAlert https://t.co/6tdHKlvAVU"
,Thu Apr 01 08:51:29 +0000 2021,april fools to those who thought covid bas khatam hojayega
,Thu Apr 01 08:49:32 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:49:12 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
ARYNews ,Thu Apr 01 08:49:08 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
,Thu Apr 01 08:48:55 +0000 2021,"Coronavirus has claimed 98 more lives in Pakistan during the past 24 hours, taking the overall death toll to 14,530

For More Details: https://t.co/hSBDk87qve

#ARYNews https://t.co/TePJ7hboUx"
,Thu Apr 01 08:48:07 +0000 2021,"People above 50 can now get themselves registered at 1166 to receive the code for vaccination.

The government initiated the registration of senior citizens for the vaccination program on February 15.
https://t.co/pXs7lOxgLS"
,Thu Apr 01 08:46:25 +0000 2021,New Covid safety guidelines https://t.co/I4P6jzbMY6
ARYNews ,Thu Apr 01 08:44:28 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
ARYNews ,Thu Apr 01 08:42:22 +0000 2021,"Provinces given doses of Sinopham, CanSino COVID vaccines

#ARYNews 

https://t.co/YeLkNxr0GK"
COVID ARYNews ,Thu Apr 01 08:40:59 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 08:40:18 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:39:27 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
ARYNews ,Thu Apr 01 08:38:33 +0000 2021,"Tougher restrictions imposed in AJK’s Mirpur to curb virus spread

#ARYNews 

https://t.co/L6sLelAWul"
COVID ARYNews ,Thu Apr 01 08:37:09 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 08:36:12 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:35:42 +0000 2021,Pfizer says its Covid-19 vaccine protects younger teens https://t.co/AlCRMN9NpV
,Thu Apr 01 08:33:26 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:32:55 +0000 2021,Does anyone want to be my hopping partner next week? Yeah I know it's covid times but the shit is serious so pls raise your hand
,Thu Apr 01 08:32:16 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:32:07 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:30:51 +0000 2021,PHC moved for profit restriction on Covid vaccine sale https://t.co/HtUwCb1myj
,Thu Apr 01 08:30:08 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:28:47 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
COVID ARYNews ,Thu Apr 01 08:28:41 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
,Thu Apr 01 08:27:46 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:27:40 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 08:27:02 +0000 2021,"All people want peace, harmony, progress and above all, good health and the Covid 19 Vaccination available at the Arts Council Vaccination Center is just one such effort in that direction

Mustafa Qureshi | Legendary Film and Television Actor

#acpkhi #artscouncil #covid_19 https://t.co/aBiyZxRK2R"
,Thu Apr 01 08:25:06 +0000 2021,"New York opened up vaccines to anyone over age 30. TurboVax, a free tool to find appointments, saw traffic skyrocket.
https://t.co/RHyvCYSa5T"
COVID ARYNews ,Thu Apr 01 08:22:13 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ,Thu Apr 01 08:18:46 +0000 2021,Both my parents have tested positive for #COVID Kindly say a prayer for their good health and speedy recovery.
ARYNews ,Thu Apr 01 08:15:58 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
COVID ARYNews ,Thu Apr 01 08:13:07 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 08:13:06 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID ARYNews ,Thu Apr 01 08:11:41 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
ARYNews ,Thu Apr 01 08:11:38 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
Pak ,Thu Apr 01 08:11:21 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Covid Vaccination: Registration begins for people above 50 #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/jnzYl1Xwu9 https://t.co/ftHFxqw0JO
,Thu Apr 01 08:11:19 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/jhYIiHnRYe https://t.co/RneWURnlqY
,Thu Apr 01 08:11:18 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Islamabad: 66 more children test positive for coronavirus in 24 hours #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/s8R1ZD7Ply https://t.co/YwYbR8QlOg
Pak ,Thu Apr 01 08:11:17 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl 98 passengers landing at Karachi airport tested COVID positive #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/HNuSGjdPaZ https://t.co/BuCKZoeVb7
,Thu Apr 01 08:11:16 +0000 2021,Does anyone want to be my hopping partner next week? Yeah I know it's covid times but the shit is serious so pls raise your hand
ARYNews ,Thu Apr 01 08:07:16 +0000 2021,"Lahore hospital faces ‘acute shortage’ of doctors as over 110 staff contract Covid

#ARYNews 

https://t.co/JnWbhAlewN"
,Thu Apr 01 08:06:52 +0000 2021,"COVID is taking lives,crippling businesses,destroying education, increasing mental illness,dividing our world &amp; ripping families apart.I know my husband sent us to Oz to be safe but nothing makes me wish the end of COVID more than hearing our baby cry for her daddy every night 😢"
coronavirus ,Thu Apr 01 08:04:14 +0000 2021,"Pakistan has opened registration for vaccination against the novel #coronavirus for people of 50 years and above

For More Details: https://t.co/hIPovyWIMA

#ARYNews https://t.co/5ksQ8PN9hi"
lockdown facemask ,Thu Apr 01 08:04:11 +0000 2021,"Mini Air Purifier with HEPA and UVC. 
starting at Rs.10,000.00
Visit 👉 https://t.co/MeigaOklKi 
#lockdown #facemask #khi #lhr #sanitizer #Covid #clean #new #Pakistan https://t.co/DqIbhP97kc"
,Thu Apr 01 08:03:08 +0000 2021,It's been a year and the world is still battling  Covid-19. https://t.co/5tAU54A6S3
